cbsa_cd,cbsa_abbr,cbsa_name
18300,COO,"Coos Bay, OR Micropolitan SA"
18740,COS,"Coshocton, OH Micropolitan SA"
17740,COW,"Coldwater, MI Micropolitan SA"
18780,CRA,"Craig, CO Micropolitan SA"
18860,CRC,"Crescent City, CA Micropolitan SA"
18380,CRD,"Cordele, GA Micropolitan SA"
18500,CRG,"Corning, NY Micropolitan SA"
18420,CRN,"Corinth, MS Micropolitan SA"
18620,CRS,"Corsicana, TX Micropolitan SA"
18660,CRT,"Cortland, NY Micropolitan SA"
18820,CRW,"Crawfordsville, IN Micropolitan SA"
45520,CTD,"The Dalles, OR Micropolitan SA"
18980,CUL,"Cullman, AL Micropolitan SA"
18900,CVT,"Crossville, TN Micropolitan SA"
19000,CWE,"Cullowhee, NC Micropolitan SA"
19220,DAN,"Danville, KY Micropolitan SA"
19420,DAY,"Dayton, TN Micropolitan SA"
19860,DCK,"Dickinson, ND Micropolitan SA"
19580,DEF,"Defiance, OH Micropolitan SA"
19700,DEG,"Deming, NM Micropolitan SA"
19620,DEL,"Del Rio, TX Micropolitan SA"
19540,DET,"Decatur, IN Micropolitan SA"
19940,DIX,"Dixon, IL Micropolitan SA"
19980,DOD,"Dodge City, KS Micropolitan SA"
20060,DOU,"Douglas, GA Micropolitan SA"
19760,DRD,"DeRidder, LA Micropolitan SA"
20340,DUC,"Duncan, OK Micropolitan SA"
20140,DUG,"Dublin, GA Micropolitan SA"
20300,DUM,"Dumas, TX Micropolitan SA"
20380,DUN,"Dunn, NC Micropolitan SA"
20180,DUP,"DuBois, PA Micropolitan SA"
